Recording timestamp	Eyetracker timestamp	Eyepos3d_Left.x	Eyepos3d_Left.y	Eyepos3d_Left.z	Eyepos3dRel_Left.x	Eyepos3dRel_Left.y	Eyepos3dRel_Left.z	Gaze2d_Left.x	Gaze2d_Left.y	Gaze3d_Left.x	Gaze3d_Left.y	Gaze3d_Left.z	PupilDiam_Left	Validity_Left	Eyepos3d_Right.x	Eyepos3d_Right.y	Eyepos3d_Right.z	Eyepos3dRel_Right.x	Eyepos3dRel_Right.y	Eyepos3dRel_Right.z	Gaze2d_Right.x	Gaze2d_Right.y	Gaze3d_Right.x	Gaze3d_Right.y	Gaze3d_Right.z	PupilDiam_Right	Validity_Right	Event value	Event message
6609407768	1489513570917899	4.269749e+001	1.058538e+001	6.881927e+002	4.041355e-001	4.451007e-001	7.939758e-001	6.465480e+002	2.647377e+002	-1.263797e+001	2.123163e+002	7.251723e+001	3.812622e+000	2	4.270364e+001	1.062294e+001	6.907019e+002	4.045138e-001	4.451014e-001	8.023397e-001	5.329964e+002	2.905834e+002	-5.553709e+001	2.032736e+002	6.885104e+001	3.826218e+000	2	0	0
6609411066	1489513570921197	4.263941e+001	1.037067e+001	6.766872e+002	4.024680e-001	4.453313e-001	7.556240e-001	6.497046e+002	2.480919e+002	-1.144541e+001	2.181401e+002	7.487843e+001	3.754807e+000	1	4.264529e+001	1.037080e+001	6.766870e+002	4.024494e-001	4.453305e-001	7.556234e-001	5.325892e+002	2.767623e+002	-5.569092e+001	2.081092e+002	7.081156e+001	3.755081e+000	3	0	0
6609414391	1489513570924522	4.270473e+001	1.037719e+001	6.766665e+002	4.022582e-001	4.452934e-001	7.555552e-001	6.548111e+002	2.384622e+002	-9.516227e+000	2.215093e+002	7.624439e+001	3.784470e+000	1	4.271107e+001	1.037741e+001	6.766663e+002	4.022382e-001	4.452922e-001	7.555544e-001	5.377475e+002	2.670491e+002	-5.374218e+001	2.115076e+002	7.218936e+001	3.784775e+000	3	0	0
6609417741	1489513570927872	4.276897e+001	1.037479e+001	6.766592e+002	4.020541e-001	4.453057e-001	7.555306e-001	6.474632e+002	2.302675e+002	-1.229220e+001	2.243763e+002	7.740679e+001	3.851257e+000	1	4.278226e+001	1.037611e+001	6.766591e+002	4.020121e-001	4.452983e-001	7.555304e-001	5.280972e+002	2.587372e+002	-5.738799e+001	2.144157e+002	7.336840e+001	3.851578e+000	3	0	0
6609421092	1489513570931223	4.283101e+001	1.037772e+001	6.766347e+002	4.018540e-001	4.452872e-001	7.554488e-001	6.511914e+002	2.123429e+002	-1.088373e+001	2.306477e+002	7.994939e+001	3.856018e+000	1	4.359076e+001	1.056666e+001	6.891994e+002	4.015122e-001	4.452792e-001	7.973311e-001	5.356728e+002	2.172513e+002	-5.452598e+001	2.289303e+002	7.925313e+001	3.928604e+000	3	0	0
6609424461	1489513570934592	4.289808e+001	1.038197e+001	6.765772e+002	4.016327e-001	4.452588e-001	7.552574e-001	6.530273e+002	2.075727e+002	-1.019014e+001	2.323166e+002	8.062603e+001	3.844376e+000	1	4.378814e+001	1.060195e+001	6.912699e+002	4.012323e-001	4.452552e-001	8.042328e-001	5.375830e+002	2.079062e+002	-5.380429e+001	2.321999e+002	8.057872e+001	3.929153e+000	3	0	0
6609427794	1489513570937925	4.296200e+001	1.038196e+001	6.765714e+002	4.014297e-001	4.452581e-001	7.552382e-001	6.518112e+002	2.023774e+002	-1.064957e+001	2.341343e+002	8.136297e+001	3.954575e+000	1	4.372499e+001	1.057157e+001	6.891694e+002	4.010891e-001	4.452496e-001	7.972314e-001	5.367189e+002	2.065648e+002	-5.413077e+001	2.326692e+002	8.076900e+001	4.029282e+000	3	0	0
6609431055	1489513570941187	4.301859e+001	1.039419e+001	6.764851e+002	4.012367e-001	4.451834e-001	7.549504e-001	6.507069e+002	2.562169e+002	-1.106678e+001	2.152974e+002	7.372589e+001	3.950699e+000	1	4.404208e+001	1.064794e+001	6.930988e+002	4.007392e-001	4.451541e-001	8.103296e-001	5.305605e+002	2.577473e+002	-5.645735e+001	2.147620e+002	7.350882e+001	4.047897e+000	3	0	0
6609434423	1489513570944555	4.308601e+001	1.039828e+001	6.764243e+002	4.010136e-001	4.451556e-001	7.547477e-001	6.491724e+002	2.271864e+002	-1.164648e+001	2.254543e+002	7.784385e+001	3.899857e+000	1	4.310855e+001	1.040432e+001	6.764243e+002	4.009423e-001	4.451223e-001	7.547477e-001	5.271133e+002	2.568712e+002	-5.775968e+001	2.150685e+002	7.363309e+001	3.899979e+000	3	0	0
6609437772	1489513570947904	4.315967e+001	1.040594e+001	6.764341e+002	4.007824e-001	4.451139e-001	7.547803e-001	6.512998e+002	2.492804e+002	-1.084277e+001	2.177243e+002	7.470984e+001	3.848480e+000	1	4.426016e+001	1.068475e+001	6.942830e+002	4.002547e-001	4.450510e-001	8.142765e-001	5.316992e+002	2.501568e+002	-5.602717e+001	2.174177e+002	7.458552e+001	3.949997e+000	3	0	0
